"id","nama_produk","brand_produk","harga_retail","link_gambar","harga_original","diskon"
38,"Adidas Samba OG White Wonder Mauve (Women's)","Adidas",1020000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEzMjQzMi8xODk3OWJjYThmNmZiNWI1OWQ0ZWJmZjIxZjkxODRjMC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
39,"Adidas Samba OG Leopard Preloved Red (Women's)","Adidas",1650000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEyMTcxMC8zZTJiNzgwOGUyY2UwNDcxMTU5OTlkYWQ2YmViMDIwYi5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
40,"Adidas Samba OG Maroon Off White Gum (Women's)","Adidas",1730000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1MDQ3NS9mZWYzNGM2YTE5ZGYxZjVkODg4MjI1ZTBjNTQzZTY2Yy5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
41,"Adidas Samba Jane White Black Gum (Women's)","Adidas",1350000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEzMjkzNi9lYmU4MzQ0Yjk5YmRhMWQ3ZDEwMWRmNzM0YzlhMjdiZC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
42,"Puma Speedcat Lovelace Ballet Rosy Outlook (Women's)","Puma",1550000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1NTkxNC9hNTgzY2I5ZmVkMjcyODk1ZDU5ZTcyMjA1Zjc5MzUwOC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
43,"Nike Vomero Premium Barely Green (Women's)","Nike",5900000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1NjM4Ni83YmE0M2M2NWRjYjU2OTgwYmM1MTAzZmJhZjgxOTNhMy5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
44,"Adidas Adizero Evo SL White Black (Women's)","Adidas",1680000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEzMjU0NS9lY2FkNzk2YjAyZWE3YzQxMTIyMzg0ZjZiOGQwMzkyZi5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",2500000.0,32.8
45,"Nike Moon Shoe SP Jacquemus Fauna Brown (Women's)","Nike",6210000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1NDY1OC80YzAxZjc2MDBhYTM0ZjRmMWJlODg5OTVlM2I5Nzc2Ny5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
46,"Adidas Samba LT Black White Gum (Women's)","Adidas",1330000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzExMjM3NS9kNDg2MTk1ODc5OWIxZDNlZDJiMmE4YTcyYjYzNzcyMC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
47,"Puma Speedcat Ballet Whisp of Pink (Women's)","Puma",1210000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEyODAwOC8zZGM4OTk2Njg0YmE0ODA1MzE4ZDhjNWJjMDU3MjJiNC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",1299000.0,6.85
